HCHO Reading,Location,Current Date,Next Date,Year,Month,temperature_2m_mean,apparent_temperature_mean,windspeed_10m_max,et0_fao_evapotranspiration,elevation,precipitation_hours,shortwave_radiation_sum,rain_sum
-4.44070437953798e-05,Colombo,2019-04-26,2019-04-27,2019,4,27.8,33.8,8.4,2.6,16.0,9.0,11.81,4.4
7.111501928962651e-05,Colombo,2019-04-27,2019-04-28,2019,4,27.6,33.9,9.5,2.56,16.0,5.0,11.77,1.7
0.0001871501881396,Colombo,2019-04-28,2019-04-29,2019,4,27.5,33.6,12.9,3.18,16.0,15.0,15.78,5.7
0.0001093271878134,Colombo,2019-04-29,2019-04-30,2019,4,26.6,32.0,12.0,2.58,16.0,22.0,12.36,14.8
9.747576626042276e-05,Colombo,2019-04-30,2019-05-01,2019,4,27.3,32.4,16.8,2.58,16.0,19.0,11.84,11.6
9.747576626042276e-05,Colombo,2019-05-01,2019-05-02,2019,5,27.9,33.0,20.7,3.32,16.0,17.0,16.03,5.8
0.0001203378887073,Colombo,2019-05-02,2019-05-03,2019,5,27.4,32.9,14.1,2.82,16.0,16.0,13.74,4.9
0.0001336923031109,Colombo,2019-05-03,2019-05-04,2019,5,26.6,31.6,16.1,1.73,16.0,20.0,7.76,15.8
0.0001008724552225,Colombo,2019-05-04,2019-05-05,2019,5,27.9,33.4,14.7,3.35,16.0,12.0,15.44,4.1
7.002533500214887e-05,Colombo,2019-05-05,2019-05-06,2019,5,28.2,33.4,15.0,4.1,16.0,3.0,19.1,0.5
3.904429319723554e-05,Colombo,2019-05-06,2019-05-07,2019,5,27.8,32.5,14.5,4.67,16.0,0.0,22.06,0.0
0.0001174876039439,Colombo,2019-05-07,2019-05-08,2019,5,27.8,32.7,14.1,3.73,16.0,11.0,17.05,2.6
0.000101303794324,Colombo,2019-05-08,2019-05-09,2019,5,28.3,33.0,17.6,4.87,16.0,2.0,22.71,0.5
9.939428098153852e-05,Colombo,2019-05-09,2019-05-10,2019,5,28.4,33.0,16.9,4.35,16.0,0.0,19.25,0.0
0.000125364158271,Colombo,2019-05-10,2019-05-11,2019,5,28.3,33.3,18.6,3.86,16.0,8.0,17.74,1.5
0.0001274753051841,Colombo,2019-05-11,2019-05-12,2019,5,28.2,33.3,16.6,4.28,16.0,15.0,20.23,2.8
8.802823548435995e-05,Colombo,2019-05-12,2019-05-13,2019,5,27.3,33.1,14.0,3.28,16.0,15.0,16.22,4.5
2.4982204901168622e-05,Colombo,2019-05-13,2019-05-14,2019,5,27.8,33.6,15.4,4.17,16.0,17.0,20.86,4.0
0.0001810438022415,Colombo,2019-05-14,2019-05-15,2019,5,27.8,33.8,13.6,4.09,16.0,12.0,20.41,3.7
0.0001394291724461,Colombo,2019-05-15,2019-05-16,2019,5,28.1,33.8,17.8,4.38,16.0,13.0,21.28,3.5
0.0001171367229027,Colombo,2019-05-16,2019-05-17,2019,5,27.3,32.7,16.0,3.32,16.0,16.0,16.47,4.2
0.0001095084478863,Colombo,2019-05-17,2019-05-18,2019,5,27.3,32.9,13.2,3.63,16.0,8.0,18.17,2.2
9.525618991159472e-05,Colombo,2019-05-18,2019-05-19,2019,5,26.9,32.2,15.7,3.59,16.0,10.0,17.99,3.1
8.700221402162398e-05,Colombo,2019-05-19,2019-05-20,2019,5,27.6,33.2,12.7,3.98,16.0,6.0,19.79,2.1
0.000374082469529,Colombo,2019-05-20,2019-05-21,2019,5,27.9,33.3,14.2,4.12,16.0,8.0,19.7,1.3
8.031848961353504e-05,Colombo,2019-05-21,2019-05-22,2019,5,27.4,32.6,14.5,3.65,16.0,13.0,17.84,3.5
0.0001222873862844,Colombo,2019-05-22,2019-05-23,2019,5,27.7,32.6,15.6,4.25,16.0,6.0,20.05,0.9
0.0002171247684173,Colombo,2019-05-23,2019-05-24,2019,5,27.2,31.8,15.9,3.61,16.0,11.0,16.96,2.8
8.360032868662833e-05,Colombo,2019-05-24,2019-05-25,2019,5,27.1,32.0,14.1,2.67,16.0,18.0,12.0,10.5
0.0001897835067573,Colombo,2019-05-25,2019-05-26,2019,5,27.2,32.2,20.1,3.0,16.0,12.0,14.56,7.7
0.00011078022387,Colombo,2019-05-26,2019-05-27,2019,5,28.1,33.2,13.9,4.22,16.0,3.0,19.69,1.2
0.0001368899250486,Colombo,2019-05-27,2019-05-28,2019,5,28.0,33.4,16.0,4.05,16.0,13.0,19.56,2.7
0.000165996737955,Colombo,2019-05-28,2019-05-29,2019,5,27.8,33.5,15.0,3.75,16.0,16.0,18.55,4.3
-2.056808215846379e-05,Colombo,2019-05-29,2019-05-30,2019,5,27.2,33.0,15.8,2.98,16.0,13.0,14.68,10.0
